0,1,2,3,4,5,6,7
1.0,5.25317,13.8741,0.0,-3.81455,-0.652085,-0.218296,0.0
1.0,0.68537,2.81885,0.0,-3.4329099999999997,0.228042,-0.07118239999999999,0.0
1.0,2.05781,3.5509699999999995,0.0,-3.4094,-0.0221942,-0.0874273,0.0
1.0,4.73053,9.190710000000001,0.0,-4.2402,0.38308400000000004,0.03531140000000001,0.0
1.0,18.6196,14.3077,0.0,-3.9437599999999997,0.0106652,-0.372842,0.0
1.0,0.0372892,5.631819999999999,0.0,-3.65575,0.0731642,-0.0887225,0.0
1.0,3.9771699999999996,5.08796,0.0,-3.23414,0.260781,-0.000996991,0.0
1.0,2.47525,17.1009,0.0,-4.18168,-0.00867288,-0.040673900000000006,0.0
1.0,2.10059,15.2891,0.0,-3.9089699999999996,0.08639,0.610463,0.0
1.0,2.53356,14.2653,0.0,-4.263319999999999,-0.030174400000000004,-0.0404275,0.0
2.0,11.2079,0.28220700000000004,0.0,-3.4020699999999997,-0.220073,0.0492876,0.0
2.0,11.5145,11.3647,0.0,-3.15963,-0.669564,-0.159577,0.0
2.0,15.1156,14.2553,0.0,-3.10462,-0.00358019,0.663852,0.0
2.0,4.4211,19.0001,0.0,-3.4956199999999997,0.5779310000000001,0.386581,0.0
2.0,10.7856,18.3094,0.0,-3.2618400000000003,0.241916,-0.180777,0.0
2.0,5.10516,3.0013900000000002,0.0,-3.0661,-0.130218,0.21213,0.0
2.0,20.2667,11.088,0.0,-3.3182400000000003,0.258405,-0.386169,0.0
1.0,0.7687649999999999,18.4287,0.0,-4.3328,-0.210346,0.23261199999999999,0.0
1.0,1.2015,15.8265,0.0,-3.67104,0.13856500000000002,0.474289,0.0
1.0,17.2262,15.3737,0.0,-4.3465,0.348109,0.529671,0.0
1.0,3.4745699999999995,17.4827,0.0,-4.39364,-0.0240011,0.223687,0.0
1.0,14.3119,14.5714,0.0,-4.07324,-0.155513,0.184144,0.0
1.0,4.7417300000000004,0.45220600000000005,0.0,-4.15995,0.46516199999999996,-0.0708157,0.0
1.0,5.70479,0.968822,0.0,-4.7463,0.41656899999999997,0.33646,0.0
1.0,20.1473,14.9343,0.0,-3.7305599999999997,-0.411175,-0.0258866,0.0
